	Date	Name	Text	Compound	Positive	Negative	Neutral	Tweets Ago
292	Sat Jun 30 01:31:03 +0000 2018	@CNN	"""Happy Mother's Day."" That's what an ICE officer mockingly told a Guatemalan woman seeking asylum in the United Sta… https://t.co/KJv4JixMFX"	0.7579	0.277	0.723	0.0	293
291	Sat Jun 30 01:37:03 +0000 2018	@CNN	"RT @CuomoPrimeTime: Oakland Mayor Libby Schaaf says ICE should be abolished: ""I think that it is a failed experiment, and that we have to m…"	-0.5106	0.0	0.875	0.125	292
290	Sat Jun 30 01:41:05 +0000 2018	@CNN	Kevin Hassett, chair of a WH panel that provides President Trump with economic advice, told CNN's Erin Burnett that… https://t.co/tnrTyB7j7Q	0.0	0.0	1.0	0.0	291
289	Sat Jun 30 01:51:08 +0000 2018	@CNN	Chinese tech equipment maker ZTE has replaced its entire board, fulfilling another part of the deal it made with th… https://t.co/CVisoigWZM	0.0	0.0	1.0	0.0	290
288	Sat Jun 30 01:53:53 +0000 2018	@CNN	"RT @CuomoPrimeTime: ""In a city like Oakland, where we have so many immigrants, we cannot have public safety if that huge part of our popula…"	0.3544	0.171	0.746	0.083	289
287	Sat Jun 30 02:01:04 +0000 2018	@CNN	7 days in the dark: Time is running out in the search for the teenage soccer team trapped in a Thai cave… https://t.co/fPY6afWSvi	-0.5267	0.0	0.855	0.145	288
286	Sat Jun 30 02:04:52 +0000 2018	@CNN	"RT @CuomoPrimeTime: ""I don't think we should be trying to out-Trump Trump,"" says Democrat Rep. Seth Moulton. ""The answer to Trump is to act…"	0.0	0.0	1.0	0.0	287
285	Sat Jun 30 02:16:07 +0000 2018	@CNN	With an embrace and small talk, a mother and her young son are reunited after a month apart https://t.co/lMgmJY2C0q https://t.co/IzS96kddBK	0.3182	0.119	0.881	0.0	286
499	Sat Jun 30 02:17:00 +0000 2018	@nytimes	"Review: The documentary ""Three Identical Strangers” is an engrossing and sometimes enraging documentary about reuni… https://t.co/uAMlTInSxE"	-0.5859	0.0	0.798	0.202	500
284	Sat Jun 30 02:31:08 +0000 2018	@CNN	A teenager crossed the border to find his uncle. He spent nine months in a series of detention centers, each harshe… https://t.co/xqyk2ovZ04	-0.3612	0.0	0.884	0.116	285
